Number	Header	Position	Time	Altitude	Leg Length	Leg Time	Leg Speed	Leg Course
142	Trackpoint	N6 15.366 W75 34.409	29/04/2024 12:35	1470	11	0:00:01	38 kph	235° true
143	Trackpoint	N6 15.362 W75 34.411	29/04/2024 12:35	1470	10	0:00:01	37 kph	212° true
144	Trackpoint	N6 15.357 W75 34.415	29/04/2024 12:35	1470	10	0:00:01	37 kph	218° true
145	Trackpoint	N6 15.353 W75 34.418	29/04/2024 12:35	1470	10	0:00:01	37 kph	218° true
146	Trackpoint	N6 15.349 W75 34.422	29/04/2024 12:35	1470	10	0:00:01	36 kph	224° true
147	Trackpoint	N6 15.345 W75 34.426	29/04/2024 12:35	1470	10	0:00:01	36 kph	223° true
148	Trackpoint	N6 15.341 W75 34.430	29/04/2024 12:35	1470	10	0:00:01	36 kph	223° true
149	Trackpoint	N6 15.337 W75 34.434	29/04/2024 12:35	1470	11	0:00:01	39 kph	223° true
150	Trackpoint	N6 15.332 W75 34.438	29/04/2024 12:35	1470	11	0:00:01	41 kph	220° true
151	Trackpoint	N6 15.327 W75 34.442	29/04/2024 12:35	1470	12	0:00:01	43 kph	220° true
152	Trackpoint	N6 15.323 W75 34.446	29/04/2024 12:35	1470	12	0:00:01	43 kph	223° true
153	Trackpoint	N6 15.318 W75 34.451	29/04/2024 12:35	1470	12	0:00:01	44 kph	221° true
154	Trackpoint	N6 15.313 W75 34.455	29/04/2024 12:35	1470	13	0:00:01	45 kph	223° true
155	Trackpoint	N6 15.308 W75 34.460	29/04/2024 12:35	1470	13	0:00:01	45 kph	223° true
156	Trackpoint	N6 15.303 W75 34.464	29/04/2024 12:35	1471	12	0:00:01	44 kph	222° true
157	Trackpoint	N6 15.298 W75 34.469	29/04/2024 12:35	1471	13	0:00:01	46 kph	225° true
158	Trackpoint	N6 15.293 W75 34.474	29/04/2024 12:35	1471	12	0:00:01	45 kph	225° true
159	Trackpoint	N6 15.288 W75 34.478	29/04/2024 12:35	1471	12	0:00:01	44 kph	222° true
160	Trackpoint	N6 15.283 W75 34.482	29/04/2024 12:35	1471	13	0:00:01	45 kph	215° true
161	Trackpoint	N6 15.277 W75 34.486	29/04/2024 12:35	1471	13	0:00:01	47 kph	212° true
162	Trackpoint	N6 15.270 W75 34.489	29/04/2024 12:35	1471	13	0:00:01	46 kph	204° true
163	Trackpoint	N6 15.264 W75 34.492	29/04/2024 12:35	1471	13	0:00:01	46 kph	206° true
164	Trackpoint	N6 15.258 W75 34.495	29/04/2024 12:35	1471	13	0:00:01	47 kph	203° true
165	Trackpoint	N6 15.251 W75 34.496	29/04/2024 12:35	1471	13	0:00:01	46 kph	195° true
