Number;Header;Position;Time;Altitude;Leg Length;Leg Time;Leg Speed;Leg Course
169;Trackpoint;N6 15.222 W75 34.500;29/04/2024 12:35;1470;14;0:00:01;50 kph;185ｰ true
170;Trackpoint;N6 15.214 W75 34.500;29/04/2024 12:35;1470;15;0:00:01;53 kph;185ｰ true
171;Trackpoint;N6 15.206 W75 34.501;29/04/2024 12:35;1470;14;0:00:01;52 kph;183ｰ true
172;Trackpoint;N6 15.199 W75 34.502;29/04/2024 12:35;1470;14;0:00:01;50 kph;186ｰ true
173;Trackpoint;N6 15.192 W75 34.502;29/04/2024 12:35;1470;14;0:00:01;49 kph;182ｰ true
174;Trackpoint;N6 15.184 W75 34.502;29/04/2024 12:35;1470;13;0:00:01;48 kph;185ｰ true
175;Trackpoint;N6 15.177 W75 34.503;29/04/2024 12:35;1470;13;0:00:01;48 kph;182ｰ true
176;Trackpoint;N6 15.170 W75 34.503;29/04/2024 12:35;1470;13;0:00:01;48 kph;178ｰ true
177;Trackpoint;N6 15.163 W75 34.503;29/04/2024 12:35;1471;13;0:00:01;46 kph;180ｰ true
178;Trackpoint;N6 15.156 W75 34.503;29/04/2024 12:35;1471;13;0:00:01;46 kph;180ｰ true
179;Trackpoint;N6 15.150 W75 34.504;29/04/2024 12:35;1471;12;0:00:01;45 kph;191ｰ true
180;Trackpoint;N6 15.144 W75 34.505;29/04/2024 12:35;1472;11;0:00:01;41 kph;190ｰ true
181;Trackpoint;N6 15.138 W75 34.506;29/04/2024 12:35;1472;10;0:00:01;37 kph;185ｰ true
182;Trackpoint;N6 15.133 W75 34.506;29/04/2024 12:35;1472;9;0:00:01;33 kph;184ｰ true
183;Trackpoint;N6 15.129 W75 34.506;29/04/2024 12:35;1473;8;0:00:01;30 kph;185ｰ true
184;Trackpoint;N6 15.124 W75 34.506;29/04/2024 12:35;1473;8;0:00:01;29 kph;182ｰ true
185;Trackpoint;N6 15.120 W75 34.507;29/04/2024 12:35;1473;8;0:00:01;28 kph;187ｰ true
186;Trackpoint;N6 15.116 W75 34.507;29/04/2024 12:35;1474;8;0:00:01;28 kph;182ｰ true
187;Trackpoint;N6 15.112 W75 34.508;29/04/2024 12:35;1474;8;0:00:01;28 kph;187ｰ true
188;Trackpoint;N6 15.108 W75 34.508;29/04/2024 12:35;1474;7;0:00:01;26 kph;184ｰ true
189;Trackpoint;N6 15.104 W75 34.508;29/04/2024 12:35;1474;6;0:00:01;23 kph;179ｰ true
190;Trackpoint;N6 15.102 W75 34.508;29/04/2024 12:35;1474;6;0:00:01;20 kph;188ｰ true
191;Trackpoint;N6 15.099 W75 34.509;29/04/2024 12:35;1474;5;0:00:01;18 kph;195ｰ true
192;Trackpoint;N6 15.097 W75 34.509;29/04/2024 12:35;1474;4;0:00:01;16 kph;190ｰ true
193;Trackpoint;N6 15.095 W75 34.509;29/04/2024 12:35;1474;4;0:00:01;14 kph;182ｰ true
194;Trackpoint;N6 15.093 W75 34.510;29/04/2024 12:35;1474;3;0:00:01;12 kph;182ｰ true
195;Trackpoint;N6 15.091 W75 34.510;29/04/2024 12:35;1474;3;0:00:01;12 kph;194ｰ true
196;Trackpoint;N6 15.089 W75 34.510;29/04/2024 12:35;1474;3;0:00:01;12 kph;169ｰ true
197;Trackpoint;N6 15.087 W75 34.509;29/04/2024 12:35;1474;4;0:00:01;14 kph;161ｰ true
198;Trackpoint;N6 15.086 W75 34.509;29/04/2024 12:35;1474;3;0:00:01;11 kph;174ｰ true
199;Trackpoint;N6 15.084 W75 34.509;29/04/2024 12:36;1474;4;0:00:01;15 kph;178ｰ true
200;Trackpoint;N6 15.083 W75 34.509;29/04/2024 12:36;1474;1;0:00:01;5 kph;189ｰ true
201;Trackpoint;N6 15.080 W75 34.509;29/04/2024 12:36;1474;4;0:00:01;16 kph;179ｰ true
202;Trackpoint;N6 15.079 W75 34.509;29/04/2024 12:36;1474;2;0:00:01;7 kph;170ｰ true
203;Trackpoint;N6 15.077 W75 34.509;29/04/2024 12:36;1474;5;0:00:01;17 kph;180ｰ true
204;Trackpoint;N6 15.074 W75 34.509;29/04/2024 12:36;1474;6;0:00:01;21 kph;188ｰ true
205;Trackpoint;N6 15.071 W75 34.510;29/04/2024 12:36;1474;6;0:00:01;23 kph;191ｰ true
206;Trackpoint;N6 15.067 W75 34.510;29/04/2024 12:36;1474;7;0:00:01;25 kph;184ｰ true
207;Trackpoint;N6 15.063 W75 34.510;29/04/2024 12:36;1474;8;0:00:01;28 kph;181ｰ true
208;Trackpoint;N6 15.058 W75 34.509;29/04/2024 12:36;1474;8;0:00:01;30 kph;173ｰ true
209;Trackpoint;N6 15.053 W75 34.509;29/04/2024 12:36;1474;9;0:00:01;32 kph;179ｰ true
210;Trackpoint;N6 15.048 W75 34.510;29/04/2024 12:36;1474;9;0:00:01;33 kph;185ｰ true
211;Trackpoint;N6 15.044 W75 34.510;29/04/2024 12:36;1474;8;0:00:01;28 kph;178ｰ true
212;Trackpoint;N6 15.041 W75 34.513;29/04/2024 12:36;1474;9;0:00:01;32 kph;218ｰ true
213;Trackpoint;N6 15.036 W75 34.513;29/04/2024 12:36;1474;8;0:00:01;27 kph;185ｰ true
214;Trackpoint;N6 15.032 W75 34.513;29/04/2024 12:36;1474;8;0:00:01;30 kph;182ｰ true
215;Trackpoint;N6 15.027 W75 34.513;29/04/2024 12:36;1474;9;0:00:01;31 kph;181ｰ true
216;Trackpoint;N6 15.022 W75 34.513;29/04/2024 12:36;1474;9;0:00:01;33 kph;182ｰ true
217;Trackpoint;N6 15.017 W75 34.514;29/04/2024 12:36;1474;10;0:00:01;34 kph;185ｰ true
218;Trackpoint;N6 15.012 W75 34.514;29/04/2024 12:36;1474;10;0:00:01;36 kph;181ｰ true
219;Trackpoint;N6 15.006 W75 34.514;29/04/2024 12:36;1474;10;0:00:01;37 kph;180ｰ true
220;Trackpoint;N6 15.001 W75 34.514;29/04/2024 12:36;1474;11;0:00:01;39 kph;177ｰ true
221;Trackpoint;N6 14.994 W75 34.514;29/04/2024 12:36;1474;11;0:00:01;40 kph;179ｰ true
222;Trackpoint;N6 14.988 W75 34.513;29/04/2024 12:36;1474;11;0:00:01;40 kph;178ｰ true
223;Trackpoint;N6 14.983 W75 34.513;29/04/2024 12:36;1475;11;0:00:01;39 kph;179ｰ true
224;Trackpoint;N6 14.976 W75 34.513;29/04/2024 12:36;1475;11;0:00:01;41 kph;180ｰ true
225;Trackpoint;N6 14.970 W75 34.513;29/04/2024 12:36;1475;12;0:00:01;44 kph;180ｰ true
